Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
Luvata Pori Oy;;;;;;PRICE LIST;maalis.25;;;;;;;BKFP=flat, radius R ~1;;;;;;
;;;;;;;;;;;;;;BKMI=round edged flat (R=0,5x thickness);;;;;;
;;;;;;ABB Motors and Generators, Helsinki;;;;; ; ;;;;;;;;
;;;;;;;;;;;;;;BKMP=tapered flat, R ~1;;;;;;
;;;;;;;;;;;;;;BKMJ=round edged, tapered flat;;;;;;
;;;;;;;;;;;;;Machining cost;;;;;;;
;;;;;;;;;;;;;3,15;Eur/pc;;;;;;
Delivery term: FCA Pori;;;;;;;;;;;;;;;;;;;;
Copper price € / kg:;;;;9,481;;Bono ;tba;;;;;;;;;;;;;
LME +  EUR 335/ton + 2%;;;;;;;;;;;;;;;;;;;;
Metal price of copper set is based on the monthly average LME quotation prior to the order date.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"No energy adder for May 2023 deliveries; machining capacity increased from 800pc to 1200 pc/wk, additional cost +2eur/pc for qnty over 800 (will be invoiced separately)";;;;;;;;;;;;;;;;;;;;
The adder will be invoiced collectively once a month based on shipped quantities. First invoice is therefore expected early February.;;;;;;;;;;;;Koneistettu ->;;Handling fee for small quantities (included in the price calculation);;;;;;
Type;Conversion;Packing;Handling;Total;Copper;KG Price                       excl. machining;Weight/meter;Lenght mm;PC Price excl. machining;PCS;KG;KG Price                     incl. machining;PC Price                      incl. machining;300 kg or less 350eur;301-500 kg 250eur;-> kaavat;KG;apu 300;apu 500;apu summa
BKMJ (BKMF) 40X8,5/5,5;2,05;0,03;0;2,08;9,481;11,561;2,43;;0;;0;#JAKO/0!;3,15;prof. 2230;;;0;350;250;350
BKMJ (BKMF) 40X9/7,0;2,05;0,03;0;2,08;9,481;11,561;2,75;;0;;0;#JAKO/0!;3,15;prof. 2235;;;0;350;250;350
BKMJ (BKMF) 45X9/6,0;2,05;0,03;0;2,08;9,481;11,561;2,93;;0;;0;#JAKO/0!;3,15;prof. 2267;;;0;350;250;350
BKMJ (BKMF) 45X12/8;2,05;0,03;0;2,08;9,481;11,561;3,87;;0;;0;#JAKO/0!;3,15;prof. 2229;;;0;350;250;350
BKMJ (BKMF) 50X8,00/6,00;2,05;0,03;0;2,08;9,481;11,561;3,043;;0;;0;#JAKO/0!;3,15;prof. 2279;;;0;350;250;350
BKMJ (BKMF) 50X8,50/6,50;2,05;0,03;0;2,08;9,481;11,561;3,25;;0;;0;#JAKO/0!;3,15;prof. 2236;;;0;350;250;350
BKMJ (BKMF) 50X9/5,5;2,05;0,03;0;2,08;9,481;11,561;3,166;;0;;0;#JAKO/0!;3,15;prof. 2288;;;0;350;250;350
BKMJ (BKMF) 50X9/7;2,05;0,03;0;2,08;9,481;11,561;3,462;;0;;0;#JAKO/0!;3,15;prof. 2287;;;0;350;250;350
BKMJ (BKMF) 50X10/7;2,05;0,03;0,69;2,7651;9,481;12,246;3,68;1153.0;51,96;86.0;365;12,989;55,11;prof. 2226;250.0;;365;0;250;250
BKMJ (BKMF) 50X11/7;2,05;0,03;0;2,08;9,481;11,561;3,9;;0;;0;#JAKO/0!;3,15;prof. 2225;;;0;350;250;350
BKMJ (BKMF) 50X11/8;2,05;0,03;0;2,08;9,481;11,561;4,092;;0;;0;#JAKO/0!;3,15;prof. 2240;;;0;350;250;350
BKMJ (BKMF) 50X11/8,5;2,05;0,03;0;2,08;9,481;11,561;4,189;;0;;0;#JAKO/0!;3,15;prof. 2676;;;0;350;250;350
BKMJ (BKMF) 51X11,50/10,50;2,05;0,03;0;2,08;9,481;11,561;4,79;;0;;0;#JAKO/0!;3,15;prof. 2205;;;0;350;250;350
BKMJ (BKMF) 52X11/8,5;2,05;0,03;0;2,08;9,481;11,561;4,363;;0;;0;#JAKO/0!;3,15;prof. 2679;;;0;350;250;350
BKMJ (BKMF) 54X15/13;2,05;0,03;0;2,08;9,481;11,561;6,391;;0;;0;#JAKO/0!;3,15;prof. 2296;;;0;350;250;350
BKMJ (BKMF) 55X9/7;2,05;0,03;0;2,08;9,481;11,561;3,818;;0;;0;#JAKO/0!;3,15;prof. 2639;;;0;350;250;350
